term,all_text,labels,valid_until,country_codes,countries,node_id,sourceID,address,name,jurisdiction_description,service_provider,jurisdiction,closed_date,incorporation_date,ibcRUC,type,status,company_type,note,filename,inactivation_date,struck_off_date,all_text_low
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58045597_Paradise Papers - Malta corporate registry_89, IGNATIO SAVERIO MIFSUD STREET, BIRKIRKARA_89, IGNATIO SAVERIO MIFSUD STREET, BIRKIRKARA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58045597,Paradise Papers - Malta corporate registry,"89, IGNATIO SAVERIO MIFSUD STREET, BIRKIRKARA","89, IGNATIO SAVERIO MIFSUD STREET, BIRKIRKARA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58045597_paradise papers - malta corporate registry_89, ignatio saverio mifsud street, birkirkara_89, ignatio saverio mifsud street, birkirkara_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58046741_Paradise Papers - Malta corporate registry_56, TRIQ SIR UGO MIFSUD, LIJALJA 1055, MALTA_56, TRIQ SIR UGO MIFSUD, LIJALJA 1055, MALTA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58046741,Paradise Papers - Malta corporate registry,"56, TRIQ SIR UGO MIFSUD, LIJALJA 1055, MALTA","56, TRIQ SIR UGO MIFSUD, LIJALJA 1055, MALTA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58046741_paradise papers - malta corporate registry_56, triq sir ugo mifsud, lijalja 1055, malta_56, triq sir ugo mifsud, lijalja 1055, malta_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58046870_Paradise Papers - Malta corporate registry_93, PAULANG, FL 1, PARISH PRIEST MIFSUD STREET, HAMRUN_93, PAULANG, FL 1, PARISH PRIEST MIFSUD STREET, HAMRUN_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58046870,Paradise Papers - Malta corporate registry,"93, PAULANG, FL 1, PARISH PRIEST MIFSUD STREET, HAMRUN","93, PAULANG, FL 1, PARISH PRIEST MIFSUD STREET, HAMRUN",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58046870_paradise papers - malta corporate registry_93, paulang, fl 1, parish priest mifsud street, hamrun_93, paulang, fl 1, parish priest mifsud street, hamrun_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58047027_Paradise Papers - Malta corporate registry_57/23 MARINA COURT, ABATE RIGORD STREET, C/W SIR UGO MIFSUD STREET, TA' XBIEX XBX 1120_57/23 MARINA COURT, ABATE RIGORD STREET, C/W SIR UGO MIFSUD STREET, TA' XBIEX XBX 1120_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58047027,Paradise Papers - Malta corporate registry,"57/23 MARINA COURT, ABATE RIGORD STREET, C/W SIR UGO MIFSUD STREET, TA' XBIEX XBX 1120","57/23 MARINA COURT, ABATE RIGORD STREET, C/W SIR UGO MIFSUD STREET, TA' XBIEX XBX 1120",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58047027_paradise papers - malta corporate registry_57/23 marina court, abate rigord street, c/w sir ugo mifsud street, ta' xbiex xbx 1120_57/23 marina court, abate rigord street, c/w sir ugo mifsud street, ta' xbiex xbx 1120_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58048046_Paradise Papers - Malta corporate registry_7, CASA ZAMMIT, MONS. ALFREDO MIFSUD STREET, TA' XBIEX XBX1060_7, CASA ZAMMIT, MONS. ALFREDO MIFSUD STREET, TA' XBIEX XBX1060_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58048046,Paradise Papers - Malta corporate registry,"7, CASA ZAMMIT, MONS. ALFREDO MIFSUD STREET, TA' XBIEX XBX1060","7, CASA ZAMMIT, MONS. ALFREDO MIFSUD STREET, TA' XBIEX XBX1060",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58048046_paradise papers - malta corporate registry_7, casa zammit, mons. alfredo mifsud street, ta' xbiex xbx1060_7, casa zammit, mons. alfredo mifsud street, ta' xbiex xbx1060_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58048591_Paradise Papers - Malta corporate registry_72, GATEWAY CENTRE KAPPILLAN MIFSUD STREET HAMRUN HMR 1856_72, GATEWAY CENTRE KAPPILLAN MIFSUD STREET HAMRUN HMR 1856_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58048591,Paradise Papers - Malta corporate registry,"72, GATEWAY CENTRE KAPPILLAN MIFSUD STREET HAMRUN HMR 1856","72, GATEWAY CENTRE KAPPILLAN MIFSUD STREET HAMRUN HMR 1856",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58048591_paradise papers - malta corporate registry_72, gateway centre kappillan mifsud street hamrun hmr 1856_72, gateway centre kappillan mifsud street hamrun hmr 1856_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58048797_Paradise Papers - Malta corporate registry_63, PALM COURT, TRIQ DUMINKU MIFSUD, GHARGHUR_63, PALM COURT, TRIQ DUMINKU MIFSUD, GHARGHUR_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58048797,Paradise Papers - Malta corporate registry,"63, PALM COURT, TRIQ DUMINKU MIFSUD, GHARGHUR","63, PALM COURT, TRIQ DUMINKU MIFSUD, GHARGHUR",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58048797_paradise papers - malta corporate registry_63, palm court, triq duminku mifsud, gharghur_63, palm court, triq duminku mifsud, gharghur_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58048925_Paradise Papers - Malta corporate registry_71, Roberto Mifsud Bonnici Street, LIJA, MALTA_71, Roberto Mifsud Bonnici Street, LIJA, MALTA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58048925,Paradise Papers - Malta corporate registry,"71, Roberto Mifsud Bonnici Street, LIJA, MALTA","71, Roberto Mifsud Bonnici Street, LIJA, MALTA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58048925_paradise papers - malta corporate registry_71, roberto mifsud bonnici street, lija, malta_71, roberto mifsud bonnici street, lija, malta_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58048935_Paradise Papers - Malta corporate registry_71, TRIQ ROBERT MIFSUD BONNICI, LIJALJA 1409, MALTA_71, TRIQ ROBERT MIFSUD BONNICI, LIJALJA 1409, MALTA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58048935,Paradise Papers - Malta corporate registry,"71, TRIQ ROBERT MIFSUD BONNICI, LIJALJA 1409, MALTA","71, TRIQ ROBERT MIFSUD BONNICI, LIJALJA 1409, MALTA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58048935_paradise papers - malta corporate registry_71, triq robert mifsud bonnici, lijalja 1409, malta_71, triq robert mifsud bonnici, lijalja 1409, malta_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58049177_Paradise Papers - Malta corporate registry_63, PALM COURT FL 2, TRIQ FRA DUMINKU MIFSUD, GHARGHUR_63, PALM COURT FL 2, TRIQ FRA DUMINKU MIFSUD, GHARGHUR_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58049177,Paradise Papers - Malta corporate registry,"63, PALM COURT FL 2, TRIQ FRA DUMINKU MIFSUD, GHARGHUR","63, PALM COURT FL 2, TRIQ FRA DUMINKU MIFSUD, GHARGHUR",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58049177_paradise papers - malta corporate registry_63, palm court fl 2, triq fra duminku mifsud, gharghur_63, palm court fl 2, triq fra duminku mifsud, gharghur_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58049589_Paradise Papers - Malta corporate registry_66, TRIQ SIR UGO MIFSUD, LIJA_66, TRIQ SIR UGO MIFSUD, LIJA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58049589,Paradise Papers - Malta corporate registry,"66, TRIQ SIR UGO MIFSUD, LIJA","66, TRIQ SIR UGO MIFSUD, LIJA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58049589_paradise papers - malta corporate registry_66, triq sir ugo mifsud, lija_66, triq sir ugo mifsud, lija_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58049810_Paradise Papers - Malta corporate registry_7, CASA ZAMMIT, MONS. ALFREDO MIFSUD STREET, TA' XBIEX MSD 11_7, CASA ZAMMIT, MONS. ALFREDO MIFSUD STREET, TA' XBIEX MSD 11_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58049810,Paradise Papers - Malta corporate registry,"7, CASA ZAMMIT, MONS. ALFREDO MIFSUD STREET, TA' XBIEX MSD 11","7, CASA ZAMMIT, MONS. ALFREDO MIFSUD STREET, TA' XBIEX MSD 11",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58049810_paradise papers - malta corporate registry_7, casa zammit, mons. alfredo mifsud street, ta' xbiex msd 11_7, casa zammit, mons. alfredo mifsud street, ta' xbiex msd 11_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58050091_Paradise Papers - Malta corporate registry_75/77, TRIQ SIR UGO MIFSUD, LIJA, MALTA_75/77, TRIQ SIR UGO MIFSUD, LIJA, MALTA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58050091,Paradise Papers - Malta corporate registry,"75/77, TRIQ SIR UGO MIFSUD, LIJA, MALTA","75/77, TRIQ SIR UGO MIFSUD, LIJA, MALTA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58050091_paradise papers - malta corporate registry_75/77, triq sir ugo mifsud, lija, malta_75/77, triq sir ugo mifsud, lija, malta_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58050212_Paradise Papers - Malta corporate registry_7, CASA ZAMMIT, MONS. A. MIFSUD STREET, TA' XBIEX_7, CASA ZAMMIT, MONS. A. MIFSUD STREET, TA' XBIEX_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58050212,Paradise Papers - Malta corporate registry,"7, CASA ZAMMIT, MONS. A. MIFSUD STREET, TA' XBIEX","7, CASA ZAMMIT, MONS. A. MIFSUD STREET, TA' XBIEX",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58050212_paradise papers - malta corporate registry_7, casa zammit, mons. a. mifsud street, ta' xbiex_7, casa zammit, mons. a. mifsud street, ta' xbiex_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58050483_Paradise Papers - Malta corporate registry_B & A ENTERPRISES LTD. VILLA MAURAMY, MONS A. MIFSUD STR, TA' XBIEX, MALTA_B & A ENTERPRISES LTD. VILLA MAURAMY, MONS A. MIFSUD STR, TA' XBIEX, MALTA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58050483,Paradise Papers - Malta corporate registry,"B & A ENTERPRISES LTD. VILLA MAURAMY, MONS A. MIFSUD STR, TA' XBIEX, MALTA","B & A ENTERPRISES LTD. VILLA MAURAMY, MONS A. MIFSUD STR, TA' XBIEX, MALTA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58050483_paradise papers - malta corporate registry_b & a enterprises ltd. villa mauramy, mons a. mifsud str, ta' xbiex, malta_b & a enterprises ltd. villa mauramy, mons a. mifsud str, ta' xbiex, malta_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58051218_Paradise Papers - Malta corporate registry_75, TRIQ SIR UGO MIFSUD, LIJABZN 14, MALTA_75, TRIQ SIR UGO MIFSUD, LIJABZN 14, MALTA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58051218,Paradise Papers - Malta corporate registry,"75, TRIQ SIR UGO MIFSUD, LIJABZN 14, MALTA","75, TRIQ SIR UGO MIFSUD, LIJABZN 14, MALTA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58051218_paradise papers - malta corporate registry_75, triq sir ugo mifsud, lijabzn 14, malta_75, triq sir ugo mifsud, lijabzn 14, malta_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58051315_Paradise Papers - Malta corporate registry_72, GATEWAY CENTRE, KAPPILLAN MIFSUD STREET, HAMRUNHMR 1856, MALTA_72, GATEWAY CENTRE, KAPPILLAN MIFSUD STREET, HAMRUNHMR 1856, MALTA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58051315,Paradise Papers - Malta corporate registry,"72, GATEWAY CENTRE, KAPPILLAN MIFSUD STREET, HAMRUNHMR 1856, MALTA","72, GATEWAY CENTRE, KAPPILLAN MIFSUD STREET, HAMRUNHMR 1856, MALTA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58051315_paradise papers - malta corporate registry_72, gateway centre, kappillan mifsud street, hamrunhmr 1856, malta_72, gateway centre, kappillan mifsud street, hamrunhmr 1856, malta_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58052023_Paradise Papers - Malta corporate registry_BETFAIR, TRIQ IL-KAPILLAN MIFSUD, SANTA VENERA SVR 1851_BETFAIR, TRIQ IL-KAPILLAN MIFSUD, SANTA VENERA SVR 1851_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58052023,Paradise Papers - Malta corporate registry,"BETFAIR, TRIQ IL-KAPILLAN MIFSUD, SANTA VENERA SVR 1851","BETFAIR, TRIQ IL-KAPILLAN MIFSUD, SANTA VENERA SVR 1851",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58052023_paradise papers - malta corporate registry_betfair, triq il-kapillan mifsud, santa venera svr 1851_betfair, triq il-kapillan mifsud, santa venera svr 1851_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58052024_Paradise Papers - Malta corporate registry_BETFAIR, TRIQ IL-KAPPILLAN MIFSUD, SANTA VENERASVR 1851, MALTA_BETFAIR, TRIQ IL-KAPPILLAN MIFSUD, SANTA VENERASVR 1851, MALTA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58052024,Paradise Papers - Malta corporate registry,"BETFAIR, TRIQ IL-KAPPILLAN MIFSUD, SANTA VENERASVR 1851, MALTA","BETFAIR, TRIQ IL-KAPPILLAN MIFSUD, SANTA VENERASVR 1851, MALTA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58052024_paradise papers - malta corporate registry_betfair, triq il-kappillan mifsud, santa venerasvr 1851, malta_betfair, triq il-kappillan mifsud, santa venerasvr 1851, malta_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58052690_Paradise Papers - Malta corporate registry_8, TRIQ MONS. A. MIFSUD, PEMBROKE STJ 07_8, TRIQ MONS. A. MIFSUD, PEMBROKE STJ 07_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58052690,Paradise Papers - Malta corporate registry,"8, TRIQ MONS. A. MIFSUD, PEMBROKE STJ 07","8, TRIQ MONS. A. MIFSUD, PEMBROKE STJ 07",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58052690_paradise papers - malta corporate registry_8, triq mons. a. mifsud, pembroke stj 07_8, triq mons. a. mifsud, pembroke stj 07_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58052768_Paradise Papers - Malta corporate registry_75/77, TRIQ SIR UGO MIFSUD, LIJA_75/77, TRIQ SIR UGO MIFSUD, LIJA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58052768,Paradise Papers - Malta corporate registry,"75/77, TRIQ SIR UGO MIFSUD, LIJA","75/77, TRIQ SIR UGO MIFSUD, LIJA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58052768_paradise papers - malta corporate registry_75/77, triq sir ugo mifsud, lija_75/77, triq sir ugo mifsud, lija_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58052849_Paradise Papers - Malta corporate registry_BLOCK B, DOOR 2, FLAT 2 SIR UGO MIFSUD STREET LIJA LJA 1059_BLOCK B, DOOR 2, FLAT 2 SIR UGO MIFSUD STREET LIJA LJA 1059_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58052849,Paradise Papers - Malta corporate registry,"BLOCK B, DOOR 2, FLAT 2 SIR UGO MIFSUD STREET LIJA LJA 1059","BLOCK B, DOOR 2, FLAT 2 SIR UGO MIFSUD STREET LIJA LJA 1059",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58052849_paradise papers - malta corporate registry_block b, door 2, flat 2 sir ugo mifsud street lija lja 1059_block b, door 2, flat 2 sir ugo mifsud street lija lja 1059_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58053532_Paradise Papers - Malta corporate registry_96, CASA ABREH, MONSINJUR ALFRED MIFSUD STREET, BIRKIRKARA_96, CASA ABREH, MONSINJUR ALFRED MIFSUD STREET, BIRKIRKARA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58053532,Paradise Papers - Malta corporate registry,"96, CASA ABREH, MONSINJUR ALFRED MIFSUD STREET, BIRKIRKARA","96, CASA ABREH, MONSINJUR ALFRED MIFSUD STREET, BIRKIRKARA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58053532_paradise papers - malta corporate registry_96, casa abreh, monsinjur alfred mifsud street, birkirkara_96, casa abreh, monsinjur alfred mifsud street, birkirkara_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58054242_Paradise Papers - Malta corporate registry_96, CASA ABREH, MONSINJUR ALFRED MIFSUD STREET, BIRKIRKARA, MALTA_96, CASA ABREH, MONSINJUR ALFRED MIFSUD STREET, BIRKIRKARA, MALTA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58054242,Paradise Papers - Malta corporate registry,"96, CASA ABREH, MONSINJUR ALFRED MIFSUD STREET, BIRKIRKARA, MALTA","96, CASA ABREH, MONSINJUR ALFRED MIFSUD STREET, BIRKIRKARA, MALTA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58054242_paradise papers - malta corporate registry_96, casa abreh, monsinjur alfred mifsud street, birkirkara, malta_96, casa abreh, monsinjur alfred mifsud street, birkirkara, malta_na_na_na_na_na_na_na_na_na_na"
mifsud,NA_Malta corporate registry data is current through 2016_NA_NA_58054625_Paradise Papers - Malta corporate registry_BLUE BLOSSOM PARISH PRIEST MIFSUD STREET HAMRUN_BLUE BLOSSOM PARISH PRIEST MIFSUD STREET HAMRUN_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA,,Malta corporate registry data is current through 2016,,,58054625,Paradise Papers - Malta corporate registry,BLUE BLOSSOM PARISH PRIEST MIFSUD STREET HAMRUN,BLUE BLOSSOM PARISH PRIEST MIFSUD STREET HAMRUN,,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,na_malta corporate registry data is current through 2016_na_na_58054625_paradise papers - malta corporate registry_blue blossom parish priest mifsud street hamrun_blue blossom parish priest mifsud street hamrun_na_na_na_na_na_na_na_na_na_na
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58054830_Paradise Papers - Malta corporate registry_89, IGNAZIO SAVERIO MIFSUD STREET, BIRKIRKARA_89, IGNAZIO SAVERIO MIFSUD STREET, BIRKIRKARA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58054830,Paradise Papers - Malta corporate registry,"89, IGNAZIO SAVERIO MIFSUD STREET, BIRKIRKARA","89, IGNAZIO SAVERIO MIFSUD STREET, BIRKIRKARA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58054830_paradise papers - malta corporate registry_89, ignazio saverio mifsud street, birkirkara_89, ignazio saverio mifsud street, birkirkara_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58054890_Paradise Papers - Malta corporate registry_BOREEN, 1, MONS. MIFSUD STREET, TA' XBIEX MSD 11_BOREEN, 1, MONS. MIFSUD STREET, TA' XBIEX MSD 11_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58054890,Paradise Papers - Malta corporate registry,"BOREEN, 1, MONS. MIFSUD STREET, TA' XBIEX MSD 11","BOREEN, 1, MONS. MIFSUD STREET, TA' XBIEX MSD 11",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58054890_paradise papers - malta corporate registry_boreen, 1, mons. mifsud street, ta' xbiex msd 11_boreen, 1, mons. mifsud street, ta' xbiex msd 11_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58055333_Paradise Papers - Malta corporate registry_AMBER COURT, FLAT 5, TRIQ IT-TABIB GREGORIO MIFSUD, QRENDI_AMBER COURT, FLAT 5, TRIQ IT-TABIB GREGORIO MIFSUD, QRENDI_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58055333,Paradise Papers - Malta corporate registry,"AMBER COURT, FLAT 5, TRIQ IT-TABIB GREGORIO MIFSUD, QRENDI","AMBER COURT, FLAT 5, TRIQ IT-TABIB GREGORIO MIFSUD, QRENDI",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58055333_paradise papers - malta corporate registry_amber court, flat 5, triq it-tabib gregorio mifsud, qrendi_amber court, flat 5, triq it-tabib gregorio mifsud, qrendi_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58055413_Paradise Papers - Malta corporate registry_9, LA STELLA TRIQ SIR UGO MIFSUD LUQA_9, LA STELLA TRIQ SIR UGO MIFSUD LUQA_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58055413,Paradise Papers - Malta corporate registry,"9, LA STELLA TRIQ SIR UGO MIFSUD LUQA","9, LA STELLA TRIQ SIR UGO MIFSUD LUQA",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58055413_paradise papers - malta corporate registry_9, la stella triq sir ugo mifsud luqa_9, la stella triq sir ugo mifsud luqa_na_na_na_na_na_na_na_na_na_na"
mifsud,"NA_Malta corporate registry data is current through 2016_NA_NA_58055427_Paradise Papers - Malta corporate registry_85, SIR UGO MIFSUD STREET, LIJA BZN 14_85, SIR UGO MIFSUD STREET, LIJA BZN 14_NA_NA_NA_NA_NA_NA_NA_NA_NA_NA",,Malta corporate registry data is current through 2016,,,58055427,Paradise Papers - Malta corporate registry,"85, SIR UGO MIFSUD STREET, LIJA BZN 14","85, SIR UGO MIFSUD STREET, LIJA BZN 14",,,,,,,,,,,offshoreleaks-data-packages/raw-data/csv_paradise_papers.2018-02-14/paradise_papers.nodes.address.csv,,,"na_malta corporate registry data is current through 2016_na_na_58055427_paradise papers - malta corporate registry_85, sir ugo mifsud street, lija bzn 14_85, sir ugo mifsud street, lija bzn 14_na_na_na_na_na_na_na_na_na_na"
